Symbol,Date,Open,High,Low,Close,Volume
A,03-Jun-2025,110.89,112.9925,109.75,112.76,1491200
AA,03-Jun-2025,26.64,27.885,25.94,27.66,9010200
AAC.S,03-Jun-2025,11.8,11.8,11.8,11.8,200
AAC.T,03-Jun-2025,1.35,1.5,1.3,1.36,105900
AACT,03-Jun-2025,11.55,11.56,11.5,11.52,1090100
AAM,03-Jun-2025,10.4,10.4,10.3648,10.38,11100
AAM.W,03-Jun-2025,0.1,0.1,0.0946,0.0999,10100
AAMI,03-Jun-2025,29.81,29.91,29.62,29.63,211700
AAP,03-Jun-2025,51.01,52.54,49.8,51.97,2948100
AAT,03-Jun-2025,20.11,20.3,19.83,20.07,772600
AB,03-Jun-2025,39.79,40.52,39.68,40.38,113600
ABBV,03-Jun-2025,186.9,188.73,184.82,187.25,5335500
ABCB,03-Jun-2025,60.72,61.855,60.395,61.51,301300
ABEV,03-Jun-2025,2.46,2.49,2.44,2.48,20491900
ABG,03-Jun-2025,229,234.36,229,233.67,110800
ABM,03-Jun-2025,52.51,52.83,52.16,52.72,314100
ABR,03-Jun-2025,9.47,9.88,9.34,9.72,3585300
ABR-D,03-Jun-2025,17.02,17.0761,17,17.05,10700
ABR-E,03-Jun-2025,17,17,16.9065,16.95,4400
ABR-F,03-Jun-2025,20.4599,20.4599,20.1,20.24,11900
ABT,03-Jun-2025,133.12,133.97,131.61,133.71,5915100
AC,03-Jun-2025,38.03,39.0409,37.36,37.8,3300
ACA,03-Jun-2025,86.43,88.11,86.15,88.03,121100
ACCO,03-Jun-2025,3.48,3.64,3.43,3.62,812300
ACEL,03-Jun-2025,11.21,11.33,11.175,11.28,241000
ACH.W,03-Jun-2025,2.75,2.8,2.46,2.53,102900
ACHR,03-Jun-2025,10.2,10.44,9.66,9.72,27432700
ACI,03-Jun-2025,21.9,22,21.37,21.58,5102600
ACLO,03-Jun-2025,50.19,50.19,50.19,50.19,100
ACM,03-Jun-2025,109.04,111.1253,108.6093,110.69,837900
ACN,03-Jun-2025,313,313.99,310.6,312.9,3678300
ACP,03-Jun-2025,5.85,5.85,5.82,5.82,577300
ACP-A,03-Jun-2025,20.7563,20.7563,20.6,20.6,1600
ACR,03-Jun-2025,18.73,18.98,18.4606,18.61,27300
ACR-C,03-Jun-2025,25.02,25.13,25.02,25.0542,1800
ACR-D,03-Jun-2025,21.1989,21.1989,21.11,21.11,700
ACRE,03-Jun-2025,4.54,4.71,4.51,4.69,459300
ACV,03-Jun-2025,22.09,22.09,21.8189,22.09,8700
ACVA,03-Jun-2025,16.08,16.525,15.94,16.34,1398700
ADC,03-Jun-2025,75.1,75.2425,74.28,74.73,1540000
ADC-A,03-Jun-2025,17.37,17.4273,17.1,17.4,19900
ADCT,03-Jun-2025,3.6,3.85,3.4,3.59,1734800
ADM,03-Jun-2025,47.94,47.94,46.82,47.28,3690300
ADNT,03-Jun-2025,15.08,15.85,14.89,15.75,1305400
ADT,03-Jun-2025,8.53,8.6,8.34,8.59,33614100
ADX,03-Jun-2025,20.6,20.6884,20.51,20.56,197300
AEE,03-Jun-2025,97.32,97.7,96.205,97.32,1887100
AEFC,03-Jun-2025,19.44,19.52,19.34,19.43,47100
AEG,03-Jun-2025,7.23,7.27,7.2,7.21,12796400
AEM,03-Jun-2025,122.69,123.43,120.95,122.51,2875000
AEO,03-Jun-2025,10.45,10.565,10.225,10.4,8126100
AER,03-Jun-2025,115.72,116.04,114.6,115.67,1503500
AES,03-Jun-2025,10.31,10.345,10.06,10.27,10548900
AESI,03-Jun-2025,12.26,13.12,12.01,12.96,1988800
AFB,03-Jun-2025,10.31,10.33,10.21,10.23,43900
AFG,03-Jun-2025,124.75,125.06,122.6,124.53,421800
AFGB,03-Jun-2025,21.07,21.1199,21.02,21.06,6000
AFGC,03-Jun-2025,18.17,18.29,18.14,18.21,24900
AFGD,03-Jun-2025,20.04,20.16,20.04,20.05,5100
AFGE,03-Jun-2025,16.22,16.39,16.1976,16.39,19100
AFL,03-Jun-2025,103.52,104.225,102.13,104.07,1757000
AG,03-Jun-2025,6.81,7.07,6.76,7.05,33524800
AGCO,03-Jun-2025,98.25,99.82,97.53,99.54,554200
AGD,03-Jun-2025,10.35,10.39,10.32,10.37,80900
AGI,03-Jun-2025,26.95,27.08,26.605,26.91,4061100
AGL,03-Jun-2025,2.24,2.365,2.1708,2.27,6831500
AGM,03-Jun-2025,186.18,188.9678,182.46,187.96,216300
AGM-D,03-Jun-2025,21.03,21.11,20.96,20.98,11700
AGM-E,03-Jun-2025,21.351,21.4,21.2724,21.3001,2200
AGM-F,03-Jun-2025,19.41,19.5729,19.35,19.36,8100
AGM-G,03-Jun-2025,18.08,18.22,17.9501,18.01,10200
AGO,03-Jun-2025,84.29,84.8,82.89,84.69,346700
AGRO,03-Jun-2025,9.13,9.45,9.115,9.42,1001800
AGS,03-Jun-2025,12.24,12.32,12.23,12.29,287800
AGX,03-Jun-2025,211,219,209.19,218.72,492700
AHH,03-Jun-2025,6.96,7.105,6.93,6.99,560300
AHH-A,03-Jun-2025,21.85,22.1677,21.77,22.12,29400
AHL,03-Jun-2025,34.5,34.935,34,34.73,106500
AHL-D,03-Jun-2025,20.01,20.01,19.5138,19.75,7700
AHL-E,03-Jun-2025,19.67,19.84,19.62,19.84,10400
AHL-F,03-Jun-2025,24.62,24.6999,24.4501,24.63,5500
AHR,03-Jun-2025,35.04,35.05,34.27,34.48,1256500
AHT,03-Jun-2025,5.9159,5.9159,5.6301,5.66,11000
AHT-D,03-Jun-2025,18,18,17.9,17.9,700
AHT-F,03-Jun-2025,12.6,12.6,12.39,12.39,800
AHT-G,03-Jun-2025,14.88,14.88,14.32,14.32,300
AHT-I,03-Jun-2025,12.7,12.7764,12.65,12.6826,3000
AI,03-Jun-2025,25.43,26.08,24.71,25.67,8179500
AIFD,03-Jun-2025,28.32,28.47,28.3183,28.37,3800
AIG,03-Jun-2025,85.51,85.89,83.945,85.55,3187400
AII,03-Jun-2025,16.54,16.73,16.305,16.68,177500
AIN,03-Jun-2025,64.84,66.64,64.84,66.26,274900
AIO,03-Jun-2025,23.75,24.09,23.6744,24.04,76600
AIR,03-Jun-2025,62.58,64.52,62.205,64.5,412600
AIT,03-Jun-2025,225.75,230.125,224.39,230.01,367800
AIV,03-Jun-2025,7.99,8.11,7.94,8.1,788900
AIZ,03-Jun-2025,204.17,206.74,200.82,205.82,658200
AIZN,03-Jun-2025,19.71,20.005,19.65,19.6559,11300
AJG,03-Jun-2025,349.65,351.225,341.76,345.25,1035700
AKA,03-Jun-2025,12,12.4763,12,12.42,9400
AKO.A,03-Jun-2025,21.1846,21.1846,21.145,21.145,200
AKO.B,03-Jun-2025,25.29,26.235,25.26,25.42,11000
AKR,03-Jun-2025,19.24,19.45,19.15,19.27,610600
AL,03-Jun-2025,56.97,57.52,56.51,57.41,842800
ALB,03-Jun-2025,55.04,57.22,53.7,57.01,2976900
ALB-A,03-Jun-2025,28.73,29.3099,27.83,29.15,160400
ALC,03-Jun-2025,84.9,85.56,84.13,85.43,1205800
ALE,03-Jun-2025,65.36,65.645,65.235,65.31,324700
ALEX,03-Jun-2025,17.88,18.06,17.79,17.95,358500
ALG,03-Jun-2025,199.21,206.48,198.897,203.47,221700
ALIT,03-Jun-2025,5.33,5.46,5.29,5.43,4021200
ALK,03-Jun-2025,50.95,51.36,50.265,50.75,2781500
ALL,03-Jun-2025,211.89,213.18,207.2353,211.26,1263400
ALL-B,03-Jun-2025,25.9,26,25.8311,25.96,20800
ALL-H,03-Jun-2025,20.78,20.86,20.6382,20.69,112600
ALL-I,03-Jun-2025,19.14,19.206,19.09,19.14,33200
ALL-J,03-Jun-2025,26.54,26.6308,26.38,26.47,56200
ALLE,03-Jun-2025,139.27,139.87,137.36,139.1,1492700
ALLY,03-Jun-2025,35.24,35.79,34.71,35.67,5536400
